accession	encodeDAccession	notes
wgEncodeEH000459	ENCSR000DRM	
wgEncodeEH000460	ENCSR000DRO	
wgEncodeEH000461	ENCSR000DRQ	
wgEncodeEH000462	ENCSR000DRT	
wgEncodeEH000463	ENCSR000DRV	
wgEncodeEH000464	ENCSR000DTV	
wgEncodeEH000465	ENCSR000DUN	
wgEncodeEH000466	ENCSR000DUR	
wgEncodeEH000467	ENCSR000DVD	
wgEncodeEH000468	ENCSR000DVL	
wgEncodeEH000469	ENCSR000DTX	
wgEncodeEH000470	ENCSR000DUC	
wgEncodeEH000471	ENCSR000DWA	
wgEncodeEH000472	ENCSR000DWT	
wgEncodeEH000473	ENCSR000DXG	
wgEncodeEH000474	ENCSR000DXN	
wgEncodeEH000475	ENCSR000DXV	
wgEncodeEH000476	ENCSR000ENP	
wgEncodeEH000477	ENCSR000EPZ	
wgEncodeEH000478	ENCSR000EQC	
wgEncodeEH000479	ENCSR000EMQ	
wgEncodeEH000480	ENCSR000EPC	
wgEncodeEH000481	ENCSR000EMQ	
wgEncodeEH000482	ENCSR000ENP	
wgEncodeEH000483	ENCSR000EQC	
wgEncodeEH000484	ENCSR000EPC	
wgEncodeEH000485	ENCSR000EPZ	
wgEncodeEH000486	ENCSR000EMI	
wgEncodeEH000487	ENCSR000EME	
wgEncodeEH000488	ENCSR000EOQ	
wgEncodeEH000489	ENCSR000ENU	
wgEncodeEH000490	ENCSR000EQA	
wgEncodeEH000491	ENCSR000EQG	
wgEncodeEH000492	ENCSR000EMT	
wgEncodeEH000493	ENCSR000EOK	
wgEncodeEH000494	ENCSR000EOL	
wgEncodeEH000495	ENCSR000ENO	
wgEncodeEH000496	ENCSR000EMU	
wgEncodeEH000497	ENCSR000EOS	
wgEncodeEH000498	ENCSR000EPL	
wgEncodeEH000499	ENCSR000EPQ	
wgEncodeEH000500	ENCSR000EPT	
wgEncodeEH000501	ENCSR000EPX	
wgEncodeEH000502	ENCSR000EPJ	
wgEncodeEH000503	ENCSR000ENV	
wgEncodeEH000504	ENCSR000ENS	
wgEncodeEH000505	ENCSR000ELX	
wgEncodeEH000506	ENCSR000ELY	
wgEncodeEH000507	ENCSR000ELZ	
wgEncodeEH000508	ENCSR000EMA	
wgEncodeEH000509	ENCSR000EMB	
wgEncodeEH000510	ENCSR000EMN	
wgEncodeEH000511	ENCSR000EMZ	
wgEncodeEH000512	ENCSR000END	
wgEncodeEH000513	ENCSR000ENH	
wgEncodeEH000514	ENCSR000ENL	
wgEncodeEH000515	ENCSR000ENN	
wgEncodeEH000516	ENCSR000EOF	
wgEncodeEH000517	ENCSR000EON	
wgEncodeEH000518	ENCSR000EPP	
wgEncodeEH000519	ENCSR000ENJ	
wgEncodeEH000520	ENCSR000EMS	
wgEncodeEH000521	ENCSR000EPR	
